date,open,high,low,close,volume,diversity
2022-09-04 13:38:00,82585.8355,82585.8355,82614.5636,82614.5636,9.10778,5
2022-09-04 17:38:00,82614.5636,82614.5636,82638.1193,82638.1193,3.201952,4
2022-09-04 21:38:00,82638.1193,82638.1193,82664.5991,82664.5991,2.5200780000000003,7
2022-09-05 01:38:00,82664.5991,82664.5991,82700.0643,82700.0643,3.139705,10
2022-09-05 05:38:00,82700.0643,82700.0643,82733.0913,82733.0913,7.372389999999999,10
2022-09-05 09:38:00,82733.0913,82733.0913,82767.3933,82767.3933,5.562296,10
2022-09-05 13:38:00,82767.3933,82767.3933,82803.7963,82803.7963,6.642421,12
2022-09-05 17:38:00,82803.7963,82803.7963,82850.6268,82850.6268,8.718277,12
2022-09-05 21:38:00,82850.6268,82850.6268,82904.5347,82904.5347,3.0724289999999996,11
2022-09-06 01:38:00,82904.5347,82904.5347,82961.927,82961.927,2.420394,12
2022-09-06 05:38:00,82961.927,82961.927,83004.8774,83004.8774,6.524579,13
2022-09-06 09:38:00,83004.8774,83004.8774,83032.2465,83032.2465,3.690523,15
2022-09-06 13:38:00,83032.2465,83032.2465,83047.7026,83047.7026,6.321968999999999,11
2022-09-06 17:38:00,83047.7026,83047.7026,83082.3044,83082.3044,2.7495149999999997,13
2022-09-06 21:38:00,83082.3044,83082.3044,83111.6658,83111.6658,5.424714,13
2022-09-07 01:38:00,83111.6658,83111.6658,83137.2455,83137.2455,3.5471419999999996,11
2022-09-07 05:38:00,83137.2455,83137.2455,83162.2189,83162.2189,2.3600000000000003,10
2022-09-07 09:38:00,83162.2189,83162.2189,83187.7342,83187.7342,1.9417309999999999,10
2022-09-07 13:38:00,83187.7342,83187.7342,83208.666,83208.666,2.6529290000000003,10
2022-09-07 17:38:00,83208.666,83208.666,83229.9358,83229.9358,4.150062,4
2022-09-07 21:38:00,83229.9358,83229.9358,83246.5306,83246.5306,3.2435460000000003,7
2022-09-08 01:38:00,83246.5306,83246.5306,83268.0521,83268.0521,2.1583330000000003,9
2022-09-08 05:38:00,83268.0521,83268.0521,83291.7913,83291.7913,3.41477,10
2022-09-08 09:39:00,83291.7913,83291.7913,83309.1961,83309.1961,4.646629000000001,14
2022-09-08 13:38:00,83309.1961,83309.1961,83325.7233,83325.7233,3.383566,12
2022-09-08 17:38:00,83325.7233,83325.7233,83342.5611,83342.5611,3.042099,13
2022-09-08 21:38:00,83342.5611,83342.5611,83363.7774,83363.7774,3.902088,6
2022-09-09 01:38:00,83363.7774,83363.7774,83379.9238,83379.9238,2.685,6
2022-09-09 05:38:00,83379.9238,83379.9238,83396.6738,83396.6738,3.23,7
2022-09-09 09:38:00,83396.6738,83396.6738,83413.2929,83413.2929,2.891693,12
2022-09-09 13:38:00,83413.2929,83413.2929,83424.7696,83424.7696,2.0643979999999997,13
2022-09-09 17:38:00,83424.7696,83424.7696,83446.9166,83446.9166,4.394616,15
2022-09-09 21:38:00,83446.9166,83446.9166,83465.8994,83465.8994,3.200882,11
2022-09-10 01:38:00,83465.8994,83465.8994,83473.0121,83473.0121,2.329462,13
2022-09-10 05:38:00,83473.0121,83473.0121,83481.4229,83481.4229,2.5575,6
2022-09-10 09:39:00,83481.4229,83481.4229,83486.5365,83486.5365,6.145625,7
2022-09-10 13:39:00,83486.5365,83486.5365,83498.7176,83498.7176,2.584479,7
2022-09-10 17:39:00,83498.7176,83498.7176,83512.9496,83512.9496,2.3973299999999997,7
2022-09-10 21:39:00,83512.9496,83512.9496,83527.8974,83527.8974,3.8600000000000003,6
2022-09-11 01:39:00,83527.8974,83527.8974,83546.2154,83546.2154,5.57,6
2022-09-11 05:39:00,83546.2154,83546.2154,83565.4182,83565.4182,4.783036,6
2022-09-11 09:39:00,83565.4182,83565.4182,83578.5798,83578.5798,2.924375,6
2022-09-11 13:39:00,83578.5798,83578.5798,83589.8688,83589.8688,3.6181200000000002,7
2022-09-11 17:39:00,83589.8688,83589.8688,83614.0461,83614.0461,4.0830210000000005,8
2022-09-11 21:39:00,83614.0461,83614.0461,83660.7807,83660.7807,3.360259,10
2022-09-12 01:39:00,83660.7807,83660.7807,83719.2953,83719.2953,1.63562,10
2022-09-12 05:39:00,83719.2953,83719.2953,83776.9567,83776.9567,2.126928,10
2022-09-12 09:39:00,83776.9567,83776.9567,83841.8781,83841.8781,2.606928,13
2022-09-12 13:39:00,83841.8781,83841.8781,83899.4222,83899.4222,14.255930000000001,14
2022-09-12 17:39:00,83899.4222,83899.4222,83944.2036,83944.2036,10.855166,13
2022-09-12 21:39:00,83944.2036,83944.2036,83967.5608,83967.5608,4.033723999999999,10
2022-09-13 01:39:00,83967.5608,83967.5608,83979.8549,83979.8549,5.485965,9
2022-09-13 05:39:00,83979.8549,83979.8549,83991.153,83991.153,6.15225,8
2022-09-13 09:39:00,83991.153,83991.153,84002.0476,84002.0476,2.489,8
2022-09-13 13:39:00,84002.0476,84002.0476,84015.7006,84015.7006,3.8529299999999997,7
2022-09-13 17:39:00,84015.7006,84015.7006,84033.6658,84033.6658,3.1067769999999997,6
2022-09-13 21:39:00,84033.6658,84033.6658,84046.6577,84046.6577,4.870637,4
2022-09-14 01:39:00,84046.6577,84046.6577,84060.7676,84060.7676,4.11802,3
2022-09-14 05:39:00,84060.7676,84060.7676,84080.1046,84080.1046,4.019705999999999,2
2022-09-14 09:39:00,84080.1046,84080.1046,84104.2626,84104.2626,8.405448,5
